lon,lat,count,fagus,tsuga,bio1.0,bio12.0,bio2.0,bio4.0,bio7.0,bio15.0,albx,alby
-95.2,41.8,4,0,0,-0.444407675,-0.834150435,-0.103188155,0.989774513,0.888053641,1.478417145,61691,487002
-95.2,42.3,3,0,0,-0.596289408,-0.887048335,-0.094492141,1.065636006,0.967767706,1.670054424,61252,542795
-95.2,42.8,5,0,0,-0.768037274,-0.986593697,0.277152514,1.139988004,1.105939029,1.75952268,60813,598552
-95.2,43.3,1,0,0,-0.863986728,-1.182799849,0.331050074,1.296716787,1.29144691,1.738563583,60374,654268
-95.2,43.8,4,0,0,-0.92198854,-1.306418377,0.351164932,1.419724108,1.475951017,1.86425715,59936,709936
-95.2,44.3,3,0,0,-0.840794735,-1.402302918,0.279783305,1.558568382,1.597658467,1.749023052,59498,765553
-95.2,44.8,6,0,0,-0.897421494,-1.400991571,0.119478887,1.695270725,1.638656415,1.511718696,59060,821113
-95.2,45.3,14,0,0,-1.053198905,-1.304740342,0.115929406,1.718424093,1.642072077,1.400822983,58623,876609
-95.2,45.8,21,0,0,-1.220028298,-1.279909724,0.225620707,1.677152443,1.66977087,1.523785147,58187,932036
-95.2,46.3,47,0,0,-1.36329166,-1.333487057,0.41983225,1.675901129,1.760064567,1.73050316,57751,987389
-95.2,46.8,109,0,0,-1.434731356,-1.384256375,0.690986131,1.764931518,1.912490464,2.014220732,57316,1042660
-95.2,47.3,141,0,0,-1.509789844,-1.45750111,0.795373238,1.823279503,2.054465953,2.022291139,56881,1097844
-95.2,47.8,88,0,0,-1.561068728,-1.521385787,0.741549821,1.859695059,2.085572905,1.843693198,56448,1152935
-94.7,35.8,64,3,0,0.899068976,0.48868797,0.691921012,-0.449732891,-0.256754213,-0.165617733,111801,-183135
-94.7,36.3,53,0,0,0.820249405,0.559136053,0.745455528,-0.406022616,-0.194200994,-0.147072437,111067,-127274
-94.7,36.8,28,0,0,0.717301896,0.430107049,0.935662508,-0.23572302,0.017289928,-0.106909432,110333,-71396
-94.7,37.3,26,0,0,0.594804926,0.231241664,0.650815218,-0.017808965,0.142914925,0.160647913,109598,-15504
-94.7,37.8,24,0,0,0.574450095,0.201683846,0.483974301,0.281217545,0.353498784,0.343898958,108863,40397
